[enrich] Uso recipes-it.enriched.json come base (295 ricette).
Adapter attivi: cucchiaio, giallozafferano
✅ [cucchiaio] Tartare di Tonno e Filetto di Tonno Scottato — 8 ingredienti, 0 step
✅ [cucchiaio] Polenta e baccalà con cipolla brasata — 7 ingredienti, 0 step
✅ [cucchiaio] Capesante, cavolo nero e maionese leggera — 5 ingredienti, 0 step
✅ [cucchiaio] Castagnaccio reggiano — 7 ingredienti, 0 step
✅ [cucchiaio] Zuppa di fasolari e misticanza di verdure — 10 ingredienti, 0 step
✅ [cucchiaio] Spaghetti alle Vongole e Bottarga di Tonno — 8 ingredienti, 0 step
✅ [cucchiaio] Tagliolini al ragù — 9 ingredienti, 0 step
✅ [cucchiaio] Filetto All'aceto Balsamico — 5 ingredienti, 0 step
✅ [cucchiaio] Pasta all'Amatriciana con Variazioni — 8 ingredienti, 0 step
✅ [cucchiaio] Riso con Gamberi e Crema di Patate Al Curry Dolce — 8 ingredienti, 0 step
✅ [cucchiaio] Risotto all'aceto balsamico — 6 ingredienti, 0 step
✅ [cucchiaio] Scampi Sfumati al Traminer Aromatico con Zucchine e Peperoncino — 6 ingredienti, 0 step
✅ [cucchiaio] Cozze in guazzetto con crostini fritti e fagiolini verdi — 8 ingredienti, 0 step
✅ [cucchiaio] Risotto Alla Zucca con Crema di Parmigiano e Aceto Balsamico — 9 ingredienti, 0 step
✅ [cucchiaio] Zuppa di fagioli borlotti e ravioli di gamberetti — 8 ingredienti, 0 step
✅ [cucchiaio] Fusilli con patate, porri e crema di zucca — 10 ingredienti, 0 step
✅ [cucchiaio] Calamarata con lampuga e olive nere — 7 ingredienti, 0 step
✅ [cucchiaio] Rigatoni all'arrabbiata d'ombrina — 11 ingredienti, 0 step
✅ [cucchiaio] Coda di Rospo in Padella con Peperoni in Agrodolce — 9 ingredienti, 0 step
✅ [cucchiaio] Minestra di zucchine, zucca gialla e salsiccia piccante — 10 ingredienti, 0 step
✅ [cucchiaio] Lepre in salmì — 13 ingredienti, 0 step
✅ [cucchiaio] Torta Sbrisolona Mantovana con Variazione di Nocciole — 9 ingredienti, 0 step
✅ [cucchiaio] Cheesecake Giapponese con Salsa di Mango — 12 ingredienti, 0 step
✅ [cucchiaio] Risotto in brodo di coda al Valpolicella Ripasso — 13 ingredienti, 0 step
✅ [cucchiaio] Mazzancolle al Vapore con Gazpacho e Maionese al Lime — 8 ingredienti, 0 step
✅ [cucchiaio] Risotto Carnaroli con Porri, Anguilla e Bottarga di Orbetello — 11 ingredienti, 0 step
✅ [cucchiaio] Capesante con Olio alla Menta, Zucchine e Pomodorini All'Aceto Balsamico — 10 ingredienti, 0 step
✅ [cucchiaio] Tagliatelle di farro con sugo di lepre — 16 ingredienti, 0 step
✅ [cucchiaio] Filetto di angus con flan di cavolfiore — 10 ingredienti, 0 step
✅ [cucchiaio] Ravioli d'orata e pesto leggero con vongole veraci e capperi — 12 ingredienti, 0 step
✅ [cucchiaio] Risotto Ai Peperoni con Culaccia e Crosta di Parmigiano Reggiano — 8 ingredienti, 0 step
✅ [cucchiaio] Paccheri ripieni di cotechino con crema piccante di lenticchie — 7 ingredienti, 0 step
✅ [cucchiaio] Tonno rosso in crosta di sesamo, purè di topinambur e tartare all'anice stellato — 7 ingredienti, 0 step
✅ [cucchiaio] Filetto di Maiale con Pancetta, Patate e Salsa al Valpolicella — 10 ingredienti, 0 step
✅ [cucchiaio] Stracotto di Guancia di Bue con Polenta — 11 ingredienti, 0 step
✅ [cucchiaio] Risotto ai carciofi e taleggio — 7 ingredienti, 0 step
✅ [cucchiaio] Gnocchi di Zucca con Ragù di Fegatini di Pollo — 8 ingredienti, 0 step
